Incident_ID,Weapon_Type,City,State
20210613PAWIP,Handgun,Philadelphia,PA
20210613PAPAC,unknown,Columbia,PA
20210612MOMCF,Handgun,Florissant,MO
20210610CTHOW,Multiple Handguns,Waterbury,CT
20210609VAWIR,Handgun,Roanoke,VA
20210609TXNOH,Handgun,Houston,TX
20210608PAMUS,Handgun,Sharon,PA
20210608KSHAK,unknown,Kansas City,KS
20210607TXEAF,Handgun,Fort Worth,TX
20210606VADRA,Multiple Handguns,Arlington,VA
20210601ILLIC,Handgun,Chicago,IL
20210525NJPAP,Rifle,Paterson,NJ
20210517TXBRE,Other,El Paso,TX
20210517TNAUM,Handgun,Memphis,TN
20210517MDLOC,Multiple Handguns,Columbia,MD
20210514CASAS,Handgun,San Mateo,CA
20210511NYPSB,Handgun,Brooklyn,NY
20210511CAVEL,Other,Los Angeles,CA
20210506SCFOC,Rifle,Columbia,SC
20210506IDRIR,Handgun,Rigby,ID
20210505SCWAW,Handgun,Ware Shoals,SC
20210505MICRC,Handgun,Cutlerville,MI
20210502ILCHC,Multiple Handguns,Chicago,IL
20210501MNBES,Multiple Handguns,St. Paul,MN
20210430INMAI,Handgun,Indianapolis,IN
20210429NYURB,Multiple Handguns,Brooklyn,NY
20210429CAVIV,Handgun,Victorville,CA
20210427TNLAM,Handgun,Memphis,TN
20210427DESMS,Handgun,Smyrna,DE
20210426MNPLP,Handgun,Plymouth,MN
20210420TXHAH,Handgun,Harker Heights,TX
20210418OHWED,Handgun,Dayton,OH
20210413TNMAC,Handgun,Columbia,TN
20210412TNAUK,unknown,Knoxville,TN
20210412CASAS,Rifle,San Diego,CA
20210412CASAS,Handgun,San Diego,CA
20210411INBIH,Handgun,Hammond,IN
20210407ILPEP,Handgun,Peoria,IL
20210406ILBAC,Other,Chicago,IL
20210401OKCLC,Other,Cleveland,OK
20210401ALSES,Handgun,Selma,AL
20210327MAPEC,unknown,Cambridge,MA
20210326MOCAS,Handgun,St Charles,MO
20210324ORFOS,Handgun,Salem,OR
20210319WVSPM,Other,Martinsburg,WV
20210318KYGRL,Handgun,Louisville,KY
20210315INMEM,Multiple Handguns,Merrillville,IN
20210313TXLEA,Handgun,Abilene,TX
20210311OHCIC,unknown,Cincinnati,OH
20210309TNSAK,Handgun,Knoxville,TN
20210309OHBIC,unknown,Columbus,OH
20210308SCEDC,Handgun,Chesterfield,SC
20210301ARWAP,Handgun,Pine Bluff,AR
20210226LAGEN,Handgun,New Orleans,LA
20210224WAGAY,Handgun,Yakima,WA
20210222CAHOV,unknown,Visalia,CA
20210219ILLIR,unknown,Rockford,IL
20210217TNKNK,unknown,Knoxville,TN
20210216NCTHS,Other,Statesville,NC
20210214MNROM,unknown,Minneapolis,MN
20210210TXFOF,unknown,Fort Worth,TX
20210210NJSCP,unknown,Paterson,NJ
20210210LASTS,unknown,St. Martinville,LA
20210208MISCG,unknown,Grand Rapids,MI
20210205MDBEM,unknown,Marlow Heights,MD
20210201MIMUD,Handgun,Dearborn,MI
20210127MSHAH,Handgun,Hattiesburg,MS
20210127FLHOH,Other,Holly Hill,FL
20210121OKLOG,Handgun,Grove,OK
20210121OHEAC,Handgun,Columbus,OH
20210114MDHIW,unknown,Wheaton,MD
20210110ILSOS,unknown,Springfield,IL
20210104NYPEJ,Handgun,Johnstown,NY
